population_id,n_samples,mean_mass,sd_mass,Lineage,approx_lon,approx_lat
78,74,156.427027,24.40210129,Southern Rockies,-105.6992177,35.95330352
79,72,144.3194444,24.32825772,Southern Rockies,-105.4206117,36.59072906
80,31,138.9677419,14.90969231,Southern Rockies,-105.0859967,37.33823293
81,22,143.8909091,15.26439708,Southern Rockies,-105.0479125,38.85331533
82,19,170.8473684,25.08116532,Central Utah,-111.6477345,38.67017761
83,11,146.9818182,14.50688238,Central Utah,-111.575588,40.61565562
84,13,170.8615385,19.75725767,Central Utah,-111.5488082,38.07781316
85,20,148.1,33.85246629,Central Utah,-111.4960555,39.08639458
86,19,155.8947368,19.10757481,Central Utah,-111.4704751,38.43785584
87,31,157.4290323,32.54144223,Central Utah,-110.9881376,40.73818035
88,18,169.0833333,43.04532837,Central Utah,-109.722025,40.84408
